CODIGO;CODIGO_BARRAS;NOME_PRODUTO;UN_MEDIDA;Estoque;PRECO_FORNECEDOR;PRECO_CUSTO;PRECO_MINIMO_VENDA;PRECO_VENDA;NCM;COD_SITUACAO T._ICM;CSOSN;ALICOTA_ICMS;REDUCAO_ICMS;MVA
11450;11450;*DESENGRIPANTE 300ML UNIPEGA UNILUB 150GR;UN;43.0;8.1;8.1;8.1;14.5;3824.99.41;0.0;102.0;18.0;0.0;0.0
11450;7,90E+12;*DESENGRIPANTE 300ML UNIPEGA UNILUB 150GR;UN;35.0;8.1;8.1;8.1;14.5;3824.99.41;0.0;102.0;18.0;0.0;0.0
11451;11451;*DESENGRIPANTE 300ML POWERLUB MULTIUSO 180GR;UN;35.0;7.24;7.24;7.24;14.0;3824.99.41;0.0;102.0;18.0;0.0;0.0
11451;7,90E+12;*DESENGRIPANTE 300ML POWERLUB MULTIUSO 180GR;UN;1.0;7.24;7.24;7.24;14.0;3824.99.41;0.0;102.0;18.0;0.0;0.0
11452;11452;*ESCOVA ACO COPO C/HASTE D.50MM BRASFORT;UN;1.0;13.84;13.84;13.84;25.5;9603.50.00;0.0;102.0;18.0;0.0;0.0
11452;7,90E+12;*ESCOVA ACO COPO C/HASTE D.50MM BRASFORT;UN;291160000.0;13.84;13.84;13.84;25.5;9603.50.00;0.0;102.0;18.0;0.0;0.0
11453;11453;*ESCOVA DE ACO LATO CIRC 6X1/2 S/H BRASFORT;UN;0.0;50.43;50.43;70.0;78.0;9603.50.00;0.0;102.0;18.0;0.0;0.0
11453;7,90E+12;*ESCOVA DE ACO LATO CIRC 6X1/2 S/H BRASFORT;UN;17.0;50.43;50.43;70.0;78.0;9603.50.00;0.0;102.0;18.0;0.0;0.0
11454;11454;*CAVADEIRA 1.40M ARTICULADA C/CB MAX;UN;17.0;38.48;38.48;38.48;65.0;8201.90.00;0.0;102.0;18.0;0.0;0.0
11454;7,90E+12;*CAVADEIRA 1.40M ARTICULADA C/CB MAX;UN;0.0;38.48;38.48;38.48;65.0;8201.90.00;0.0;102.0;18.0;0.0;0.0
11455;11455;*UNIAO IRRIGACAO 1X3/4 AZUL PLASBOHN RED ;UN;0.0;1.29;1.29;1.29;3.0;3917.40.90;60.0;500.0;0.0;0.0;0.0
11456;11456;*ADAP IRRIGACAO 3/4X1/2 AZUL PLASBOHN RED INT ;UN;9.0;1.04;1.04;1.04;2.5;3917.40.90;60.0;500.0;0.0;0.0;0.0
11457;11457;"ADAP IRRIGACAO 1"" AZUL PLASBOHN ROSCA EXTERNA ";UN;9.0;1.38;1.38;3.0;3.3;3917.40.90;60.0;500.0;0.0;0.0;0.0
11458;11458;*ADAP IRRIGACAO 1X3/4 AZUL PLASBOHN RED INT ;UN;2.0;1.1;1.1;1.1;3.0;3917.40.90;60.0;500.0;0.0;0.0;0.0
11459;11459;*ADAP IRRIGACAO 3/4 AZUL PLASBOHN INT ROSC EXT;UN;2.0;0.56;0.56;1.5;1.7;3917.40.90;60.0;500.0;0.0;0.0;0.0
11459;11459;*ADAP IRRIGACAO 3/4 AZUL PLASBOHN INT ROSC EXT;UN;3.0;0.56;0.56;1.5;1.7;3917.40.90;60.0;500.0;0.0;0.0;0.0
11460;11460;*ADAP IRRIGACAO 1/2 AZUL PLASBOHN INT ROSC EXT ;UN;3.0;0.55;0.55;0.55;2.0;3917.40.90;60.0;500.0;0.0;0.0;0.0
11461;11461;*ABRACADEIRA 2.1/2X3 P/MANG 9MM BELLOSA;UN;1.0;2.21;2.21;2.21;5.0;7326.90.90;60.0;500.0;0.0;0.0;0.0
11461;7,90E+12;*ABRACADEIRA 2.1/2X3 P/MANG 9MM BELLOSA;UN;1.0;2.21;2.21;2.21;5.0;7326.90.90;60.0;500.0;0.0;0.0;0.0
11462;11462;*ABRACADEIRA 3.1/2X4 P/MANG 9MM BELLOSA;UN;1.0;2.67;2.67;2.67;5.0;7326.90.90;60.0;500.0;0.0;0.0;0.0
11462;7,90E+12;*ABRACADEIRA 3.1/2X4 P/MANG 9MM BELLOSA;UN;1.0;2.67;2.67;2.67;5.0;7326.90.90;60.0;500.0;0.0;0.0;0.0
11463;11463;*COLA JUNTA MOTOR 73GR MUNDIAL PRIME;UN;2.0;5.06;5.06;5.06;9.5;3506.10.90;0.0;102.0;18.0;0.0;0.0
11463;7,90E+12;*COLA JUNTA MOTOR 73GR MUNDIAL PRIME;UN;2.0;5.06;5.06;5.06;9.5;3506.10.90;0.0;102.0;18.0;0.0;0.0
11464;11464;ZINCO KG;KG;0.0;9.95;9.95;15.64;18.5;7905.00.00;60.0;500.0;0.0;0.0;0.0
11464;11464;ZINCO KG;KG;0.0;9.95;9.95;15.64;18.5;7905.00.00;60.0;500.0;0.0;0.0;0.0
11465;11465;*BOCAL C/RABICHO ASA TIGRE;UN;7.0;1.98;1.98;1.98;5.5;8536.61.00;60.0;500.0;0.0;0.0;0.0
11465;7,90E+12;*BOCAL C/RABICHO ASA TIGRE;UN;7.0;1.98;1.98;1.98;5.5;8536.61.00;60.0;500.0;0.0;0.0;0.0
11466;11466;*FECHADURA 1200 SOFT INTERNA 1210/05SC SILVANA ALA.CR.;UN;0.0;34.24;34.24;34.24;55.9;8301.40.00;60.0;500.0;0.0;0.0;0.0
11466;7,90E+12;*FECHADURA 1200 SOFT INTERNA 1210/05SC SILVANA ALA.CR.;UN;0.0;34.24;34.24;34.24;55.9;8301.40.00;60.0;500.0;0.0;0.0;0.0
11467;11467;*PERA 10A BRANCA MECTRONIC INTER CENT CORD;PC;5.0;3.29;3.34;3.34;7.0;8536.50.90;60.0;500.0;0.0;0.0;0.0
11467;7,90E+12;*PERA 10A BRANCA MECTRONIC INTER CENT CORD;PC;5.0;3.29;3.34;3.34;7.0;8536.50.90;60.0;500.0;0.0;0.0;0.0
11468;11468;*TINTA ESM 750ML BR/NEVE DELANIL IQUINE;LT;5.0;18.93;18.98;18.98;29.0;3208.10.10;60.0;500.0;0.0;0.0;0.0
11468;7,89E+12;*TINTA ESM 750ML BR/NEVE DELANIL IQUINE;LT;2.0;18.93;18.98;18.98;29.0;3208.10.10;60.0;500.0;0.0;0.0;0.0
11469;11469;*TINTA ESM 3LT BR/NEVE DELANIL IQUINE;GL;2.0;75.12;75.29;75.29;110.0;3208.10.10;60.0;500.0;0.0;0.0;0.0
11469;7,89E+12;*TINTA ESM 3LT BR/NEVE DELANIL IQUINE;GL;10.0;75.12;75.29;75.29;110.0;3208.10.10;60.0;500.0;0.0;0.0;0.0
11470;11470;*TRENA 3MT EMBOR BOLSO DIMAX;UND;10.0;6.69;7.35;7.35;12.0;9017.80.90;0.0;102.0;18.0;0.0;0.0
11470;7,90E+12;*TRENA 3MT EMBOR BOLSO DIMAX;UND;2.0;6.69;7.35;7.35;12.0;9017.80.90;0.0;102.0;18.0;0.0;0.0
11471;11471;*REBOLO DIAMANTADO 115MM TURBO DIMAX;PC;2.0;44.9;44.9;44.9;77.9;6804.21.11;0.0;102.0;18.0;0.0;0.0
11471;7,90E+12;*REBOLO DIAMANTADO 115MM TURBO DIMAX;PC;0.0;44.9;44.9;44.9;77.9;6804.21.11;0.0;102.0;18.0;0.0;0.0
11472;11472;*DISCO SEGMENTADO 105MM ECO DIMAX;UND;0.0;6.05;6.05;6.05;11.0;6804.21.19;0.0;102.0;18.0;0.0;0.0
11472;7,90E+12;*DISCO SEGMENTADO 105MM ECO DIMAX;UND;2.0;6.05;6.05;6.05;11.0;6804.21.19;0.0;102.0;18.0;0.0;0.0
11473;11473;*DISCO CONTINUO 105MM ECO DIMAX;UND;2.0;6.05;6.05;6.05;11.0;6804.21.19;0.0;102.0;18.0;0.0;0.0
11473;7,90E+12;*DISCO CONTINUO 105MM ECO DIMAX;UND;0.0;6.05;6.05;6.05;11.0;6804.21.19;0.0;102.0;18.0;0.0;0.0
11474;11474;*DISCO TURBO 105MM ECO DIMAX;UND;0.0;6.72;6.72;6.72;12.5;6804.21.19;0.0;102.0;18.0;0.0;0.0
11474;7,90E+12;*DISCO TURBO 105MM ECO DIMAX;UND;2.0;6.72;6.72;6.72;12.5;6804.21.19;0.0;102.0;18.0;0.0;0.0
11475;11475;COLUNA POP 3/8 7X22 6MT;BR;2.0;126.1;126.1;160.0;178.0;7214.20.00;60.0;500.0;0.0;0.0;0.0
11476;11476;*BOTA SEG BIDENSIDADE COURO CABRITO C/B TDS NUM;PARES;2.0;11.88;11.88;11.88;66.9;6403.99.90;0.0;102.0;18.0;0.0;0.0
11477;11477;*BOTA SEGURANCA SOL BLAQUEADO PRETA CABRITOS C/B TDS NUM;PARES;2.0;15.0;15.0;45.0;49.9;6403.99.90;0.0;102.0;18.0;0.0;0.0
11478;11478;*FITA EMPACOTADORA 45MMX45M TRANSP EUROCEL;UN;1.0;4.65;4.65;4.65;9.5;3919.10.10;60.0;500.0;0.0;0.0;0.0
11478;7,90E+12;*FITA EMPACOTADORA 45MMX45M TRANSP EUROCEL;UN;1.0;4.65;4.65;4.65;9.5;3919.10.10;60.0;500.0;0.0;0.0;0.0
11479;11479;*FITA EMPACOTADORA 45MMX100M TRANSP EUROCEL;UN;1.0;10.23;10.24;10.24;20.0;3919.10.10;60.0;500.0;0.0;0.0;0.0
11479;7,90E+12;*FITA EMPACOTADORA 45MMX100M TRANSP EUROCEL;UN;1.0;10.23;10.24;10.24;20.0;3919.10.10;60.0;500.0;0.0;0.0;0.0
11480;7,90E+12;*DISCO LIXA 4.1/2 80 THOMPSON;UN;5.0;2.43;2.43;2.43;5.5;6805.30.20;0.0;102.0;18.0;0.0;0.0
11480;11480;*DISCO LIXA 4.1/2 80 THOMPSON;UN;32.0;2.43;2.43;2.43;5.5;6805.30.20;0.0;102.0;18.0;0.0;0.0
11481;11481;PENEIRA MADEIRA 50X50 C/CB GROSSA TELAFORTE;UN;24.0;34.92;34.92;45.0;49.99;9604.00.00;0.0;102.0;18.0;0.0;0.0
11481;342274;PENEIRA MADEIRA 50X50 C/CB GROSSA TELAFORTE;UN;1.0;34.92;34.92;45.0;49.99;9604.00.00;0.0;102.0;18.0;0.0;0.0
11482;11482;*PENEIRA MADEIRA 45X45 FINA TELAFORTE;UN;1.0;23.83;23.84;23.84;40.0;9604.00.00;0.0;102.0;18.0;0.0;0.0
11482;7,90E+12;*PENEIRA MADEIRA 45X45 FINA TELAFORTE;UN;0.0;23.83;23.84;23.84;40.0;9604.00.00;0.0;102.0;18.0;0.0;0.0
11483;7,90E+12;*PENEIRA 45X45 GROSSA TELAFORTE;UN;0.0;25.98;25.99;25.99;42.5;9604.00.00;0.0;102.0;18.0;0.0;0.0
11483;11483;*PENEIRA 45X45 GROSSA TELAFORTE;UN;12.0;25.98;25.99;25.99;42.5;9604.00.00;0.0;102.0;18.0;0.0;0.0
11484;11484;*PENEIRA MADEIRA 45X45 MEDIA TELAFORTE;UN;12.0;25.98;25.99;25.99;42.5;9604.00.00;0.0;102.0;18.0;0.0;0.0
11484;7,90E+12;*PENEIRA MADEIRA 45X45 MEDIA TELAFORTE;UN;8.0;25.98;25.99;25.99;42.5;9604.00.00;0.0;102.0;18.0;0.0;0.0
11485;11485;TELA MORLAN GALINHEIRO 2 23X1.5X50;RL;0.0;1.0;1.0;1.0;1.0;7314.41.00;60.0;500.0;18.0;0.0;0.0
11485;7,90E+12;TELA MORLAN GALINHEIRO 2 23X1.5X50;RL;0.0;1.0;1.0;1.0;1.0;7314.41.00;60.0;500.0;18.0;0.0;0.0
11486;11486;ANCINHO 14D MINASUL;UN;0.0;8.8;8.8;18.0;19.9;8201.30.00;0.0;102.0;18.0;0.0;0.0
11486;274285;ANCINHO 14D MINASUL;UN;0.0;8.8;8.8;18.0;19.9;8201.30.00;0.0;102.0;18.0;0.0;0.0
11487;11487;*MARRETA 5KG C/CABO MOMFORT;UN;0.0;122.39;122.39;122.39;189.0;8205.20.00;0.0;102.0;18.0;0.0;0.0
11487;7,90E+12;*MARRETA 5KG C/CABO MOMFORT;UN;0.0;122.39;122.39;122.39;189.0;8205.20.00;0.0;102.0;18.0;0.0;0.0
11488;11488;*CHUVEIRO METAL CR 6 QUADRADA MEBUKI;UN;0.0;65.81;65.81;65.81;115.0;7418.20.00;60.0;500.0;0.0;0.0;0.0
11488;7,90E+12;*CHUVEIRO METAL CR 6 QUADRADA MEBUKI;UN;0.0;65.81;65.81;65.81;115.0;7418.20.00;60.0;500.0;0.0;0.0;0.0
11489;11489;*LAMPADA LED 50W POWER B.4000LM TASCHIBRA;UN;2.0;49.66;49.67;49.67;85.0;8539.52.00;60.0;500.0;0.0;0.0;0.0
11489;7,90E+12;*LAMPADA LED 50W POWER B.4000LM TASCHIBRA;UN;2.0;49.66;49.67;49.67;85.0;8539.52.00;60.0;500.0;0.0;0.0;0.0
11490;11490;*LUVA CORRER 40MM PLASTILIT;UN;24.0;17.92;17.92;17.92;35.0;3917.40.90;60.0;500.0;0.0;0.0;0.0
11491;11491;*LUVA SOLD 32MM PLASTILIT;UN;74.0;1.23;1.24;1.24;2.5;3917.40.90;60.0;500.0;0.0;0.0;0.0
11492;310232;PREGO DE ACO 2.1/2X4.2MM 100GM ASA TIGRE;PCT;74.0;3.25;3.26;6.0;7.0;7317.00.90;60.0;500.0;0.0;0.0;0.0
11493;33475;CORANTE CHEMICOLOR 50ML MARROM;UN;0.0;2.94;2.95;5.0;5.6;3204.16.00;60.0;500.0;0.0;0.0;0.0
